sequence_id,pattern,arm,repetition,attempt_directory,status,attempted_turns,complete,accounting_ok,startup_seconds,request_seconds,sequence_seconds,sequence_gaps_seconds,envelope_seconds,cleanup_seconds,delivered,resident_models_after_cleanup,error,cleanup_errors,source_freeze,selected_model_sequence,actual_generator_sequence,all_actual_generator_calls,workload_label_sequence,model_decision_sources,memory_decision_sources,return_to_small_turns,transitions_with_no_following_observation,quality_reviewed_turns,correct_delivered_turns,generation_output_tokens_all_calls,classifier_output_tokens,all_backend_output_tokens,backend_generation_calls,backend_classifier_calls,all_backend_load_duration_seconds,all_backend_prompt_eval_duration_seconds,all_backend_eval_duration_seconds,all_backend_total_duration_seconds,generation_backend_load_duration_seconds,generation_backend_prompt_eval_duration_seconds,generation_backend_eval_duration_seconds,generation_backend_total_duration_seconds,classifier_backend_load_duration_seconds,classifier_backend_prompt_eval_duration_seconds,classifier_backend_eval_duration_seconds,classifier_backend_total_duration_seconds,residency_audit_seconds,request_plus_startup_seconds,completion_eligibility_note
ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_r1_adaptive,complete,4,True,True,3.802298518,16.893653579,20.857891126,0.161939029,21.701575914,0.122324784,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""lightweight_small"", ""lightweight_small"", ""lightweight_small"", ""lightweight_small""]","[""resident_model"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,135,52,187,4,4,9.416452784999999,0.814312,5.207416,15.883983929000001,0.009955333,0.26922999999999997,3.798496,4.324130851,9.406497452,0.5450820000000001,1.40892,11.559853078,0.068010161,20.695952097,
ro_eeee_1,EEEE,large,1,ro_eeee_1_r1_large,complete,4,True,True,2.862677595,113.785415302,116.816727378,0.168634481,117.808623702,0.21789849,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""E"", ""E"", ""E"", ""E""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""fixed_model"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,98,52,150,4,4,27.259731638,7.672439,77.298552,112.791325174,0.01125833,1.868283,50.708351,52.907415586,27.248473308,5.804155999999999,26.590201,59.883909587999995,0.067200755,116.648092897,
ro_eeee_1,EEEE,replay,1,ro_eeee_1_r1_replay,complete,4,True,True,2.433138727,13.591786645,16.176710774,0.151785402,17.042637152,0.129499299,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""lightweight_small"", ""lightweight_small"", ""lightweight_small"", ""lightweight_small""]","[""resident_model"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,135,0,135,4,0,8.744818446,0.431438,3.772083,13.011782575,8.744818446,0.431438,3.772083,13.011782575,0,0,0,0,0.030977341,16.024925372,
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,complete,4,True,True,2.785508094,17.597038417,20.565135428,0.182588917,21.493935681,0.156967047,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""fixed_model"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,135,52,187,4,4,9.818049335,1.074874,5.148896,16.648487573,0.0100991,0.29907399999999995,3.6562159999999997,4.289438606,9.807950235,0.7758,1.49268,12.359048967,0.06393642399999999,20.382546511,
ro_eeee_2,EEEE,adaptive,1,ro_eeee_2_r1_adaptive,complete,4,True,True,2.671710626,17.168083147,20.008176785,0.168383012,20.902488243,0.162426059,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""lightweight_small"", ""lightweight_small"", ""lightweight_small"", ""lightweight_small""]","[""policy_general"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,136,39,175,4,3,10.246961922999999,0.7709800000000001,4.797324,16.238527671999996,10.239944684000001,0.40401400000000004,3.754916,14.651597890000001,0.007017239,0.366966,1.042408,1.586929782,0.059250446,19.839793773,
ro_eeee_2,EEEE,large,1,ro_eeee_2_r1_large,complete,4,True,True,2.548212532,90.095877109,92.823930627,0.179840986,93.79887471,0.231869784,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""E"", ""E"", ""E"", ""E""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_general"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,175,39,214,4,3,23.170170936,4.744676,60.744647,89.22239083299999,23.162492348999997,1.74215,48.792136,74.050997741,0.007678587000000001,3.002526,11.952511,15.171393092,0.058643316,92.644089641,
ro_eeee_2,EEEE,replay,1,ro_eeee_2_r1_replay,complete,4,True,True,2.375387045,13.635372495,16.172462348,0.161702808,17.042014932,0.141944002,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""lightweight_small"", ""lightweight_small"", ""lightweight_small"", ""lightweight_small""]","[""policy_general"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,136,0,136,4,0,8.809099925,0.39364699999999997,3.7704739999999997,13.036868896,8.809099925,0.39364699999999997,3.7704739999999997,13.036868896,0,0,0,0,0.026302062,16.010759540000002,
ro_eeee_2,EEEE,small,1,ro_eeee_2_r1_small,complete,4,True,True,2.37325585,15.437189061,17.9717605,0.161315589,18.870055982,0.164544833,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_general"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,136,39,175,4,3,8.742561432,0.7977369999999999,4.716317,14.642337136999998,8.73471056,0.432672,3.730467,13.100438122,0.007850872,0.365065,0.9858500000000001,1.541899015,0.05707775999999999,17.810444911,
ro_eeee_3,EEEE,adaptive,1,ro_eeee_3_r1_adaptive,complete,4,True,True,4.556061971,16.906766093,21.629086322,0.166258258,22.498170259,0.144543921,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""lightweight_small"", ""lightweight_small"", ""lightweight_small"", ""lightweight_small""]","[""policy_personal"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,120,39,159,4,3,10.00444791,0.9165000000000001,4.507978,15.915706056000001,9.99618375,0.5640120000000001,3.453242,14.297628775,0.00826416,0.352488,1.0547360000000001,1.6180772810000001,0.055879322999999995,21.462828064,
ro_eeee_3,EEEE,large,1,ro_eeee_3_r1_large,complete,4,True,True,2.436347093,87.366539696,89.976824562,0.173937773,91.010003253,0.240006167,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""E"", ""E"", ""E"", ""E""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_personal"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,109,39,148,4,3,23.73475923,6.295621999000001,55.847087,86.39703975,23.727736986,2.230613999,41.009492,67.253395084,0.007022244,4.065008,14.837595,19.143644666,0.05724734599999999,89.802886789,
ro_eeee_3,EEEE,replay,1,ro_eeee_3_r1_replay,complete,4,True,True,2.521500474,13.788561285,16.457960404,0.147898645,17.436632272,0.228304513,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""lightweight_small"", ""lightweight_small"", ""lightweight_small"", ""lightweight_small""]","[""policy_personal"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,120,0,120,4,0,9.049829852999999,0.551436,3.448928,13.133622841,9.049829852999999,0.551436,3.448928,13.133622841,0,0,0,0,0.030610712,16.310061759,
ro_eeee_3,EEEE,small,1,ro_eeee_3_r1_small,complete,4,True,True,2.499661399,15.599464564,18.256822704,0.157696741,19.137601812,0.158778111,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""E"", ""E"", ""E""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_personal"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,120,39,159,4,3,8.764370363000001,0.9099929990000001,4.448989,14.588972616,8.759125565,0.5552549999999999,3.4106840000000003,13.004170059,0.005244798,0.35473799899999997,1.038305,1.584802557,0.055228296999999996,18.099125963,
ro_dddd_3,DDDD,adaptive,1,ro_dddd_3_r1_adaptive,complete_with_errors,4,True,True,2.270411718,110.631232791,113.08070934,0.179064831,114.024265843,0.204285786,3,[],,[],v2,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""lightweight_large"", ""lightweight_large"", ""lightweight_large"", ""lightweight_large""]","[""policy_personal"", ""policy_personal"", ""policy_personal"", ""policy_personal""]",[],[],0,,311,0,311,4,0,25.922388455,2.1426000000000003,81.332634,109.521423546,25.922388455,2.1426000000000003,81.332634,109.521423546,0,0,0,0,0.030980628,112.90164450900001,
ro_dddd_3,DDDD,replay,1,ro_dddd_3_r1_replay,complete_with_errors,4,True,True,2.403122612,122.090382544,124.649985838,0.156480682,125.59014857,0.209079582,2,[],,[],v2,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""lightweight_large"", ""lightweight_large"", ""lightweight_large"", ""lightweight_large""]","[""policy_personal"", ""policy_personal"", ""policy_personal"", ""policy_personal""]",[],[],0,,347,0,347,4,0,23.997178819000002,2.211787,94.63286799999999,120.952310317,23.997178819000002,2.211787,94.63286799999999,120.952310317,0,0,0,0,0.033338052,124.493505156,
ro_eded_1,EDED,large,1,ro_eded_1_r1_large,complete,4,True,True,2.344000993,85.506859618,88.001689547,0.150828936,89.028332801,0.213543521,4,[],,[],v2,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""E"", ""D"", ""E"", ""D""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_general"", ""policy_general"", ""policy_general"", ""fixed_model""]",[],[],0,,225,17,242,4,1,22.891343525999996,3.1671759990000004,58.587313,84.86347367900001,22.888800746999994,2.448435999,56.922704,82.408674121,0.002542779,0.71874,1.664609,2.454799558,0.04035603,87.85086061099999,
ro_eded_1,EDED,small,1,ro_eded_1_r1_small,complete,4,True,True,2.885781078,15.208237155,18.277393916,0.183375683,19.132513954,0.132929175,4,[],,[],v2,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""E"", ""D"", ""E"", ""D""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_general"", ""policy_general"", ""policy_general"", ""fixed_model""]",[],[],0,,133,17,150,4,1,9.2854133,0.863891,4.2866219999999995,14.579100607,9.282973435999999,0.591738,3.814828,13.794584993,0.002439864,0.272153,0.471794,0.784515614,0.034945479,18.094018233,
