model,comparison,case_id,repetition,scenario_id,category,request_s_difference,selection_s_difference,retrieval_s_difference,generation_s_difference,validation_s_difference,loading_s_difference,retrieval_attempts_difference,unnecessary_retrievals_difference,irrelevant_inspected_difference,irrelevant_supplied_difference,supplied_coverage_difference,failure_difference
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_04,2,ir_scenario_01,general_no_memory,-0.030247962000000017,0.020589787,-0.066035896,0.009917527000000037,-0.00046227499999999984,4.4914000000000065e-05,-1.0,-1.0,-23.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_04,3,ir_scenario_01,general_no_memory,-0.05010827900000003,0.012931211,-0.081780548,0.010108781000000011,0.0005593969999999997,0.0005129659999999997,-1.0,-1.0,-23.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_05,1,ir_scenario_01,unknown_or_conflicting,0.012685142000000038,0.009876331,-0.020389286000000006,0.026971250999999974,-0.0018713269999999999,-8.609999999999998e-05,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_05,2,ir_scenario_01,unknown_or_conflicting,-0.04757314200000007,0.006363871999999998,-0.02202032100000001,-0.022187904999999786,-0.0025903310000000004,7.189499999999977e-05,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_05,3,ir_scenario_01,unknown_or_conflicting,-0.030433317000000182,0.012023797,0.003932718000000002,-0.049301296000000105,0.0008764009999999997,-0.0003784559999999999,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_06,1,ir_scenario_01,lifecycle_or_authorization,-0.007145066999999949,0.007222665,-0.002690167000000007,-0.004783650000000028,-0.002826103,-1.3107999999999956e-05,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_06,2,ir_scenario_01,lifecycle_or_authorization,0.08319173799999979,0.008138746000000002,0.011002834000000003,0.06658248200000005,-0.004045597999999999,-0.00012230500000000007,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_06,3,ir_scenario_01,lifecycle_or_authorization,0.26987562500000006,0.010157106,0.09692237199999999,0.0795478839999999,-0.004144165,0.0001640649999999997,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_01,1,ir_scenario_02,direct_personal_recall,0.010174131000000086,0.012406012000000001,-0.012456616000000004,0.021975124999999984,-0.004436628,0.00060501,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_01,2,ir_scenario_02,direct_personal_recall,-0.04004398000000009,0.009034841,-0.009664922,-0.03673311200000007,0.0011878290000000014,-0.0013570350000000001,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_01,3,ir_scenario_02,direct_personal_recall,-0.015439969999999859,0.012953563,0.010053848999999997,-0.04663236900000012,-0.0013166659999999993,0.0004841670000000002,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_02,1,ir_scenario_02,paraphrased_personal_recall,0.08566108500000014,0.012011143999999998,-0.0030780849999999943,0.05080445300000003,-0.0004322359999999999,0.00022326000000000008,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_02,2,ir_scenario_02,paraphrased_personal_recall,0.07836244300000006,0.010657207,-0.011840200999999995,0.07518296099999988,-0.0002833549999999999,-0.013495932000000002,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_02,3,ir_scenario_02,paraphrased_personal_recall,0.1891235280000001,0.016763592,0.06806648800000001,0.08832938899999987,-0.00034832199999999987,-0.0007653409999999999,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_03,1,ir_scenario_02,multi_fact_personal,0.07547472299999969,0.005742245,0.00421762199999999,0.0380571289999998,-0.004021934000000001,-0.00039017999999999974,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_03,2,ir_scenario_02,multi_fact_personal,0.03827426299999992,0.005961167,-0.017514857999999994,0.045646732000000245,-0.0020665680000000013,-0.000633057,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_03,3,ir_scenario_02,multi_fact_personal,0.0189510209999999,0.014588328999999999,0.009359479000000004,-0.011834587999999702,-0.0036785380000000003,0.00023181299999999998,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_04,1,ir_scenario_02,general_no_memory,-0.692767278,0.010372647,-0.072282519,-0.601872032,-0.00615645,0.000553932,-1.0,-1.0,-23.0,-2.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_04,2,ir_scenario_02,general_no_memory,-0.45879962499999993,0.012325941,-0.082425586,-0.36909383400000007,-0.0068669989999999995,-0.0012409730000000002,-1.0,-1.0,-23.0,-2.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_04,3,ir_scenario_02,general_no_memory,-0.7556223560000002,0.009633887000000002,-0.077115602,-0.669661117,-0.009250117,0.00016908599999999972,-1.0,-1.0,-23.0,-2.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_05,1,ir_scenario_02,unknown_or_conflicting,-0.026936810999999894,0.012002380000000002,0.019559095,-0.04089714500000019,-0.006001732999999999,0.00011813600000000002,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_05,2,ir_scenario_02,unknown_or_conflicting,-0.043566459,0.009688662999999998,-0.0025951270000000026,-0.04415964400000005,-0.0017233280000000014,0.0003793939999999999,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_05,3,ir_scenario_02,unknown_or_conflicting,-0.08361225899999991,0.011481474,0.004749178999999992,-0.09253189399999995,0.00019959800000000048,0.002505256,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_06,1,ir_scenario_02,lifecycle_or_authorization,-0.003494842999999914,0.007928881,-0.023636049000000006,0.026548348999999805,5.1091000000000504e-05,-1.906299999999972e-05,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_06,2,ir_scenario_02,lifecycle_or_authorization,-0.061725993000000035,0.011383568000000002,-0.005000455000000001,-0.03312481699999981,-0.0036922689999999998,0.00036868000000000014,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_06,3,ir_scenario_02,lifecycle_or_authorization,-0.0019802140000000357,0.008420827999999998,-0.005107178999999996,-0.0064811650000000665,0.0008612640000000005,0.0005392819999999999,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_01,1,ir_scenario_03,direct_personal_recall,0.09211253800000008,0.010014214,0.036262477,0.044786910999999874,-0.00027652799999999984,-0.00016082599999999998,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_01,2,ir_scenario_03,direct_personal_recall,-0.13841273700000012,0.006013011,-0.017984146,-0.11443709800000001,-0.002218307000000001,-0.00037009200000000025,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_01,3,ir_scenario_03,direct_personal_recall,0.06543392999999997,0.012084739,-0.009863727000000003,0.063817016,-0.0031921749999999985,0.000623139,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_02,1,ir_scenario_03,paraphrased_personal_recall,-0.0052128250000000875,0.016288377,-0.009871041999999997,-0.03087561800000005,0.0019433719999999996,-0.001916357,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_02,2,ir_scenario_03,paraphrased_personal_recall,-0.023199777000000088,0.014556125,0.008434730000000001,-0.023011657999999935,0.001616111,5.3308999999999865e-05,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_02,3,ir_scenario_03,paraphrased_personal_recall,0.043714056,0.010739784999999998,0.0017136940000000017,0.024831221999999986,-0.0007599920000000001,0.00023204299999999992,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_03,1,ir_scenario_03,multi_fact_personal,0.034822694000000265,0.009635565,-0.00047253800000000845,0.02502694800000005,-0.0005498120000000002,0.0007609500000000003,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_03,2,ir_scenario_03,multi_fact_personal,-0.005259679000000128,0.012265731000000002,-0.008950599000000004,-0.009379518000000031,-0.000619330999999999,0.0009234809999999999,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_03,3,ir_scenario_03,multi_fact_personal,0.06961273000000001,0.013074312000000001,0.019357217999999995,-0.0018523019999998613,0.021497904999999998,0.0005686210000000001,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_04,1,ir_scenario_03,general_no_memory,0.5289259739999999,0.5780802340000001,-0.075107111,0.01871173199999987,7.761000000000226e-06,0.0037404979999999997,-1.0,-1.0,-23.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_04,2,ir_scenario_03,general_no_memory,0.5958180879999999,0.5553827459999999,-0.064194071,0.09444760600000013,0.001974582,0.00257683,-1.0,-1.0,-23.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_04,3,ir_scenario_03,general_no_memory,0.5421664200000003,0.547249087,-0.08635879,0.06517243300000009,0.002293191,0.000959802,-1.0,-1.0,-23.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_05,1,ir_scenario_03,unknown_or_conflicting,0.06365383199999997,0.014208042,0.004081649999999992,0.04149589099999984,0.005009517,0.000691314,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_05,2,ir_scenario_03,unknown_or_conflicting,0.04721149800000002,0.009905545000000002,0.012019936000000002,0.023720375999999987,-0.002565122999999999,0.0003274179999999999,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_05,3,ir_scenario_03,unknown_or_conflicting,0.03305661599999987,0.010640089,-0.003301413000000003,0.013060087000000165,0.0010656520000000003,-0.00073718,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_06,1,ir_scenario_03,lifecycle_or_authorization,0.03755714800000032,0.01913273,0.007385324999999998,0.003566917000000114,0.000377952,-0.0001348059999999999,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_06,2,ir_scenario_03,lifecycle_or_authorization,0.03381546000000002,0.012161937,-0.0030101230000000034,0.0230804309999999,0.0031240899999999995,0.0008106860000000001,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_06,3,ir_scenario_03,lifecycle_or_authorization,0.026873595999999722,0.007505808999999999,0.013396108999999996,-0.014902473000000027,-0.0022306950000000004,1.1629999999997719e-06,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_01,1,ir_scenario_04,direct_personal_recall,0.057069242999999936,0.037215366,-0.00013067300000000476,0.0016701609999998368,-0.0009479140000000011,0.00015378700000000006,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_01,2,ir_scenario_04,direct_personal_recall,0.014536418000000051,0.008447861,-0.016996933,0.01757623499999994,0.0005633919999999994,-0.00043080600000000016,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_01,3,ir_scenario_04,direct_personal_recall,-0.061898296999999936,0.007304681000000002,-0.019747123999999998,-0.06197017100000002,-0.0016629419999999989,-0.001147103,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_02,1,ir_scenario_04,paraphrased_personal_recall,-0.02152010999999998,0.006451880999999998,-0.00033246700000000295,-0.017883300999999907,0.001457201,-0.00018880299999999997,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_02,2,ir_scenario_04,paraphrased_personal_recall,-0.004709183000000117,0.008362109,-0.020425913000000004,0.021641205000000108,0.002277897000000001,-7.906299999999988e-05,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_02,3,ir_scenario_04,paraphrased_personal_recall,-0.006642625000000013,0.008179217,-0.014419138999999997,0.0017705340000000458,0.0014907919999999995,7.613899999999981e-05,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_03,1,ir_scenario_04,multi_fact_personal,0.16292628700000034,0.010077456,-0.0055861999999999995,0.11937169099999978,0.0029851210000000003,0.0009626249999999999,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_03,2,ir_scenario_04,multi_fact_personal,0.007218384000000189,0.015427854,0.007673370999999998,-0.008420171999999893,-0.0004529589999999993,-0.00020974300000000008,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_03,3,ir_scenario_04,multi_fact_personal,0.007845370000000074,0.004289652999999999,-0.0026450429999999997,0.013647517000000109,-0.002063235,0.0008068400000000001,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_04,1,ir_scenario_04,general_no_memory,-0.005296809000000069,0.016961682000000002,-0.081686921,0.05117080900000004,-0.0007323130000000001,-0.00022204500000000014,-1.0,-1.0,-23.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_04,2,ir_scenario_04,general_no_memory,-0.042669245999999994,0.008216807000000001,-0.079220092,0.03232505500000005,-0.00038702500000000004,-0.00019468700000000003,-1.0,-1.0,-23.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_04,3,ir_scenario_04,general_no_memory,0.05474247600000015,0.008801363999999999,-0.060214591,0.09765724899999983,0.0006558270000000003,0.0003252099999999998,-1.0,-1.0,-23.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_05,1,ir_scenario_04,unknown_or_conflicting,0.01050207099999989,0.009883228,-0.013853066000000011,0.005510161999999985,0.0006954740000000006,-0.0005939410000000002,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_05,2,ir_scenario_04,unknown_or_conflicting,0.01931121899999999,0.010998621000000002,0.0024706619999999985,0.0030515980000000997,-0.001330327,0.0001140990000000001,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_05,3,ir_scenario_04,unknown_or_conflicting,0.08125727199999999,0.014804041,0.015829356999999995,0.04253084100000004,0.0004206679999999999,0.0010567370000000003,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_06,1,ir_scenario_04,lifecycle_or_authorization,0.06199460899999987,0.01230928,-0.010667169000000004,0.05815940900000016,-0.0012345509999999995,-0.0009716239999999997,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_06,2,ir_scenario_04,lifecycle_or_authorization,-0.012584577000000152,0.014875569,-0.011540469000000005,-0.015126935000000064,0.0009276320000000003,-1.3711000000000018e-05,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_06,3,ir_scenario_04,lifecycle_or_authorization,-0.010234920999999897,0.023049794,0.003007380000000004,-0.05315313399999999,0.0016065629999999992,-0.00016869200000000023,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_01,1,ir_scenario_05,direct_personal_recall,-0.027736148000000016,0.009569571,-0.02151763200000001,-0.017317540999999936,0.0010202890000000006,-0.0003799150000000002,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_01,2,ir_scenario_05,direct_personal_recall,0.03576959200000007,0.008371257,0.01100008899999999,0.020409765999999996,-0.0030171399999999998,-0.0004922579999999998,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_01,3,ir_scenario_05,direct_personal_recall,0.06310184800000007,0.011498487,0.014602451000000002,0.022624806000000053,-0.0007051189999999988,-0.0001795630000000002,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_02,1,ir_scenario_05,paraphrased_personal_recall,0.07658162800000001,0.014741945999999999,0.02967598099999999,0.016457748000000105,0.005158701,0.00043469600000000004,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_02,2,ir_scenario_05,paraphrased_personal_recall,0.04217928000000004,0.009695504000000002,0.0031344549999999943,0.03518363800000013,-0.003756954,-0.00047198599999999976,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_02,3,ir_scenario_05,paraphrased_personal_recall,0.07048892500000004,0.010398969,-0.012828953000000004,0.07907209299999995,-0.003373821000000001,-0.0006065860000000001,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_03,1,ir_scenario_05,multi_fact_personal,0.06178562000000021,0.012074743999999998,0.011769378999999996,0.02452038600000006,0.0053828600000000015,0.0004061789999999998,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_03,2,ir_scenario_05,multi_fact_personal,0.08212236799999983,0.008213405000000002,0.019759862000000003,0.0421800499999998,0.0032590349999999987,0.00040822699999999994,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_03,3,ir_scenario_05,multi_fact_personal,-0.0012478430000002483,0.008033952999999998,-0.022521934999999993,0.014280569999999937,-0.0009192469999999998,0.000410367,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_04,1,ir_scenario_05,general_no_memory,0.871847343,0.8149034599999999,-0.0046224230000000005,0.05536392900000009,0.0010189230000000006,0.0027086640000000004,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_04,2,ir_scenario_05,general_no_memory,0.587035969,0.519280511,-0.003813984999999992,0.075402847,0.0005094740000000002,0.0018488330000000002,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_04,3,ir_scenario_05,general_no_memory,0.46736394000000003,0.537736135,-0.017642582000000004,-0.05355742200000002,-0.0018084859999999998,0.0017098349999999994,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_05,1,ir_scenario_05,unknown_or_conflicting,0.06525780700000006,0.013827020999999998,0.010400592,0.028008693999999945,-0.0007555200000000008,0.00044976900000000004,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_05,2,ir_scenario_05,unknown_or_conflicting,0.042463134000000125,0.005954896000000001,0.004439235,0.03543968299999989,0.0022782889999999993,-0.00017958999999999987,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_05,3,ir_scenario_05,unknown_or_conflicting,0.005999769999999849,0.009784897999999998,0.015136151,-0.015096269999999912,-0.0024200000000000003,0.0003226590000000003,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_06,1,ir_scenario_05,lifecycle_or_authorization,-0.03871220199999992,0.009576782999999998,-0.010258908999999997,-0.02649812099999993,-0.0012635160000000001,-0.0030048370000000002,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_06,2,ir_scenario_05,lifecycle_or_authorization,-0.0798101120000001,0.0060974839999999985,-0.027124390999999998,-0.050256292000000036,-0.0039925790000000004,-0.0005377749999999999,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_06,3,ir_scenario_05,lifecycle_or_authorization,1.022830741,0.011497113,0.2089140949999999,0.8060572830000012,-0.003399975999999999,0.7394440199999988,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_01,1,ir_scenario_06,direct_personal_recall,0.04415806400000011,0.010236775,0.009363978000000009,0.02359971999999999,0.001407709,0.000585456,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_01,2,ir_scenario_06,direct_personal_recall,0.008276265999999977,0.009016450999999998,0.0009375210000000106,0.010741251000000007,-0.0006165960000000005,-0.0003055989999999997,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_01,3,ir_scenario_06,direct_personal_recall,-0.0812199549999999,0.011126284,-0.0062098659999999944,-0.08099783300000007,0.0018557210000000011,-0.00032707700000000027,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_02,1,ir_scenario_06,paraphrased_personal_recall,0.04901770999999999,0.012091414,-0.004029734000000007,0.03370754599999981,0.0006132389999999998,8.554999999999934e-06,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_02,2,ir_scenario_06,paraphrased_personal_recall,0.019383656000000027,0.011192591,0.004523302000000007,0.008465232999999905,-0.000957757,0.001291815,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_02,3,ir_scenario_06,paraphrased_personal_recall,-0.3896428700000001,0.009739813,-0.012305537000000005,-0.034985591000000094,-0.12989734,-0.0002853990000000002,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_03,1,ir_scenario_06,multi_fact_personal,0.02282541699999996,0.009949354,-0.0010311380000000009,0.009232552999999921,0.0011623649999999985,0.020852596,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_03,2,ir_scenario_06,multi_fact_personal,0.0007950100000000404,0.012168934999999999,0.005338229,-0.026671881999999814,-0.0002923389999999991,0.0002349539999999999,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_03,3,ir_scenario_06,multi_fact_personal,0.1279270880000003,0.009964405999999999,0.0036464089999999894,0.1129994809999999,-0.006045728000000002,0.0007194809999999997,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_04,1,ir_scenario_06,general_no_memory,-0.1960406589999999,0.555621173,-0.079622343,-0.6490997459999999,-0.0077862420000000005,0.015895217,-1.0,-1.0,-23.0,-1.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_04,2,ir_scenario_06,general_no_memory,-0.18191527799999996,0.6010021569999999,-0.079801593,-0.6767584040000003,-0.0067813100000000005,0.0022440589999999996,-1.0,-1.0,-23.0,-1.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_04,3,ir_scenario_06,general_no_memory,-0.1515521689999999,0.563068105,-0.069955068,-0.6186549809999999,-0.007114995,0.0030563910000000003,-1.0,-1.0,-23.0,-1.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_05,1,ir_scenario_06,unknown_or_conflicting,0.5757209120000002,0.534597418,-0.016663381000000005,0.02775704000000001,0.005936393,0.0010219820000000003,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_05,2,ir_scenario_06,unknown_or_conflicting,0.9189460669999998,0.881842498,-0.016968195000000005,0.04292959399999985,-0.0018363579999999997,0.0031044600000000003,0.0,0.0,0.0,0.0,,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_05,3,ir_scenario_06,unknown_or_conflicting,0.6655555279999998,0.57063133,-0.009901055999999991,0.09631742099999996,-0.00034047699999999875,0.0022471550000000002,0.0,0.0,0.0,0.0,,0.0
