model,comparison,case_id,scenario_id,category,paired_repetitions,failure_difference,generation_s_difference,irrelevant_inspected_difference,irrelevant_supplied_difference,loading_s_difference,request_s_difference,retrieval_attempts_difference,retrieval_s_difference,selection_s_difference,supplied_coverage_difference,unnecessary_retrievals_difference,validation_s_difference
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_05,ir_scenario_02,unknown_or_conflicting,3,0.0,-0.05919622766666673,0.0,0.0,0.0010009286666666666,-0.05137184299999994,0.0,0.0072377156666666624,0.011057505666666667,,0.0,-0.0025084876666666665
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_06,ir_scenario_02,lifecycle_or_authorization,3,0.0,-0.0043525443333333564,0.0,0.0,0.0002962996666666668,-0.022400349999999996,0.0,-0.011247894333333334,0.009244425666666667,0.0,0.0,-0.0009266379999999996
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_01,ir_scenario_03,direct_personal_recall,3,0.0,-0.001944390333333379,0.0,0.0,3.074033333333325e-05,0.00637791033333331,0.0,0.002804868,0.009370654666666667,0.0,0.0,-0.0018956699999999997
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_02,ir_scenario_03,paraphrased_personal_recall,3,0.0,-0.009685351333333333,0.0,0.0,-0.0005436683333333335,0.005100484666666609,0.0,9.246066666666886e-05,0.013861429,0.0,0.0,0.0009331636666666665
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_03,ir_scenario_03,multi_fact_personal,3,0.0,0.004598376000000052,0.0,0.0,0.0007510173333333334,0.03305858166666672,0.0,0.0033113603333333277,0.011658536,0.0,0.0,0.006776254
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_04,ir_scenario_03,general_no_memory,3,0.0,0.0594439236666667,-23.0,0.0,0.0024257099999999998,0.5556368273333333,-1.0,-0.07521999066666667,0.5602373556666667,,-1.0,0.001425178
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_05,ir_scenario_03,unknown_or_conflicting,3,0.0,0.026092117999999997,0.0,0.0,9.38506666666666e-05,0.04797398199999995,0.0,0.00426672433333333,0.011584558666666668,,0.0,0.0011700153333333338
qwen3:0.6b,SELECTIVE-ALWAYS,ir_03_06,ir_scenario_03,lifecycle_or_authorization,3,0.0,0.003914958333333329,0.0,0.0,0.000225681,0.03274873466666669,0.0,0.005923770333333331,0.012933492,,0.0,0.00042378233333333304
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_01,ir_scenario_04,direct_personal_recall,3,0.0,-0.014241258333333414,0.0,0.0,-0.00047470733333333337,0.003235788000000017,0.0,-0.012291576666666667,0.017655969333333334,0.0,0.0,-0.0006824880000000002
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_02,ir_scenario_04,paraphrased_personal_recall,3,0.0,0.0018428126666667488,0.0,0.0,-6.390900000000001e-05,-0.010957306000000036,0.0,-0.011725839666666668,0.007664402333333333,0.0,0.0,0.0017419633333333334
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_03,ir_scenario_04,multi_fact_personal,3,0.0,0.041533012,0.0,0.0,0.0005199073333333333,0.05933001366666687,0.0,-0.00018595733333333364,0.009931654333333333,0.0,0.0,0.0001563090000000003
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_04,ir_scenario_04,general_no_memory,3,0.0,0.06038437099999997,-23.0,0.0,-3.050733333333345e-05,0.0022588070000000293,-1.0,-0.07370720133333333,0.011326617666666667,,-1.0,-0.0001545036666666666
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_05,ir_scenario_04,unknown_or_conflicting,3,0.0,0.017030867000000043,0.0,0.0,0.0001922983333333334,0.03702352066666662,0.0,0.0014823176666666608,0.011895296666666668,,0.0,-7.139499999999985e-05
qwen3:0.6b,SELECTIVE-ALWAYS,ir_04_06,ir_scenario_04,lifecycle_or_authorization,3,0.0,-0.0033735533333332977,0.0,0.0,-0.00038467566666666665,0.013058370333333272,0.0,-0.006400086000000002,0.016744881,,0.0,0.00043321466666666666
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_01,ir_scenario_05,direct_personal_recall,3,0.0,0.008572343666666704,0.0,0.0,-0.00035057866666666674,0.02371176400000004,0.0,0.0013616359999999948,0.009813105,0.0,0.0,-0.000900656666666666
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_02,ir_scenario_05,paraphrased_personal_recall,3,0.0,0.04357115966666673,0.0,0.0,-0.00021462533333333327,0.0630832776666667,0.0,0.0066604943333333265,0.011612139666666667,0.0,0.0,-0.0006573580000000002
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_03,ir_scenario_05,multi_fact_personal,3,0.0,0.0269936686666666,0.0,0.0,0.00040825766666666656,0.047553381666666596,0.0,0.0030024353333333357,0.009440700666666666,0.0,0.0,0.0025742160000000003
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_04,ir_scenario_05,general_no_memory,3,0.0,0.025736451333333354,0.0,0.0,0.0020891106666666667,0.6420824173333334,0.0,-0.008692996666666666,0.6239733686666666,,0.0,-9.336299999999967e-05
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_05,ir_scenario_05,unknown_or_conflicting,3,0.0,0.016117368999999975,0.0,0.0,0.00019761266666666684,0.03790690366666668,0.0,0.009991992666666666,0.009855605,,0.0,-0.0002990770000000006
qwen3:0.6b,SELECTIVE-ALWAYS,ir_05_06,ir_scenario_05,lifecycle_or_authorization,3,0.0,0.2431009566666671,0.0,0.0,0.2453004693333329,0.3014361423333333,0.0,0.05717693166666664,0.009057126666666665,,0.0,-0.002885357
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_01,ir_scenario_06,direct_personal_recall,3,0.0,-0.015552287333333359,0.0,0.0,-1.573999999999998e-05,-0.009595208333333272,0.0,0.001363877666666675,0.010126503333333333,0.0,0.0,0.0008822780000000002
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_02,ir_scenario_06,paraphrased_personal_recall,3,0.0,0.0023957293333332075,0.0,0.0,0.00033832366666666655,-0.10708050133333336,0.0,-0.003937323000000002,0.011007939333333333,0.0,0.0,-0.043413952666666665
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_03,ir_scenario_06,multi_fact_personal,3,0.0,0.031853384000000005,0.0,0.0,0.007269010333333333,0.05051583833333343,0.0,0.002651166666666663,0.010694231666666667,0.0,0.0,-0.0017252340000000008
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_04,ir_scenario_06,general_no_memory,3,0.0,-0.6481710436666667,-23.0,-1.0,0.0070652223333333335,-0.17650270199999993,-1.0,-0.076459668,0.5732304783333333,,-1.0,-0.007227515666666667
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_05,ir_scenario_06,unknown_or_conflicting,3,0.0,0.05566801833333327,0.0,0.0,0.0021245323333333337,0.720074169,0.0,-0.014510877333333333,0.662357082,,0.0,0.0012531860000000005
qwen3:0.6b,SELECTIVE-ALWAYS,ir_06_06,ir_scenario_06,lifecycle_or_authorization,3,0.0,-0.006523942666666634,0.0,0.0,0.0001667033333333334,-0.0017749826666667208,0.0,-0.007492525333333333,0.010828476,,0.0,0.002438742666666667
qwen3:0.6b,SELECTIVE-ALWAYS,ir_07_01,ir_scenario_07,direct_personal_recall,3,0.0,0.014971532666666695,0.0,0.0,-2.5426999999999887e-05,0.015289462000000068,0.0,-0.009388607333333335,0.010654459333333333,0.0,0.0,0.0003229969999999996
qwen3:0.6b,SELECTIVE-ALWAYS,ir_07_02,ir_scenario_07,paraphrased_personal_recall,3,0.0,0.20919046566666624,0.0,0.0,0.2359432186666668,0.48784642900000036,0.0,0.26292197133333334,0.012267904333333335,0.0,0.0,0.000985801333333333
qwen3:0.6b,SELECTIVE-ALWAYS,ir_07_03,ir_scenario_07,multi_fact_personal,3,0.0,-0.010496708666666668,0.0,0.0,-0.0006943359999999999,0.004135238666666578,0.0,-0.005107787333333336,0.011812167666666666,0.0,0.0,0.0020922343333333333
qwen3:0.6b,SELECTIVE-ALWAYS,ir_07_04,ir_scenario_07,general_no_memory,3,0.0,-0.044930672000000005,-23.0,0.0,-0.00013588000000000003,-0.1218238963333333,-1.0,-0.08379280833333333,0.010507227666666667,,-1.0,-0.0014668316666666666
qwen3:0.6b,SELECTIVE-ALWAYS,ir_07_05,ir_scenario_07,unknown_or_conflicting,3,0.0,0.01924725266666664,0.0,0.0,-0.00017120633333333338,0.028134456333333297,0.0,-0.006639178999999999,0.010720509,0.0,0.0,-0.000506825666666667
qwen3:0.6b,SELECTIVE-ALWAYS,ir_07_06,ir_scenario_07,lifecycle_or_authorization,3,0.0,0.013237524333333361,0.0,0.0,-0.00022865233333333335,0.01733749133333336,0.0,0.0,1.6744666666666564e-05,,0.0,0.0003652796666666665
qwen3:0.6b,SELECTIVE-ALWAYS,ir_08_01,ir_scenario_08,direct_personal_recall,3,0.0,0.5004553043333334,0.0,0.0,0.5249111243333332,0.6993118796666662,0.0,0.18490029,0.011440529,0.0,0.0,0.0007185883333333323
qwen3:0.6b,SELECTIVE-ALWAYS,ir_08_02,ir_scenario_08,paraphrased_personal_recall,3,0.0,-0.6570964753333334,-22.0,-1.0,0.002778049333333333,-0.18103887699999985,-1.0,-0.084271634,0.575174065,0.0,0.0,-0.006010692
qwen3:0.6b,SELECTIVE-ALWAYS,ir_08_03,ir_scenario_08,multi_fact_personal,3,0.0,-0.000187869666666692,0.0,0.0,-0.00036173900000000003,0.00762242966666656,0.0,0.0012014573333333268,0.012784995,0.0,0.0,-0.0022536659999999997
qwen3:0.6b,SELECTIVE-ALWAYS,ir_08_04,ir_scenario_08,general_no_memory,3,0.0,0.11180640466666662,0.0,0.0,0.0015829573333333334,0.6590491439999999,0.0,0.003983248999999999,0.5461707176666667,,0.0,0.0009061106666666662
qwen3:0.6b,SELECTIVE-ALWAYS,ir_08_05,ir_scenario_08,unknown_or_conflicting,3,0.0,-0.009673265666666634,0.0,0.0,0.0004146026666666666,0.007156869666666621,0.0,-0.0002097540000000018,0.012573063333333334,0.0,0.0,0.003566858666666666
qwen3:0.6b,SELECTIVE-ALWAYS,ir_08_06,ir_scenario_08,lifecycle_or_authorization,3,0.0,0.043681985666666624,0.0,0.0,-0.0002638530000000001,0.04291716366666668,0.0,0.0,0.001169964666666667,,0.0,0.00014293499999999999
qwen3:0.6b,SELECTIVE-OFF,ir_01_01,ir_scenario_01,direct_personal_recall,3,0.0,0.32675496966666673,22.0,1.0,0.000497505,0.43459735133333344,1.0,0.08475685266666667,0.009149693666666668,0.0,0.0,0.006284742
qwen3:0.6b,SELECTIVE-OFF,ir_01_02,ir_scenario_01,paraphrased_personal_recall,3,0.0,0.05817799500000002,0.0,0.0,0.003604507,0.7386776133333334,0.0,0.0,0.6730002253333334,0.0,0.0,3.582399999999998e-05
qwen3:0.6b,SELECTIVE-OFF,ir_01_03,ir_scenario_01,multi_fact_personal,3,0.0,0.8899217543333332,21.0,1.0,0.006125634666666668,1.0077678776666668,1.0,0.08829888966666667,0.013392153333333334,1.0,0.0,0.004485063
qwen3:0.6b,SELECTIVE-OFF,ir_01_04,ir_scenario_01,general_no_memory,3,0.0,0.04249650399999997,0.0,0.0,0.0002630599999999999,0.021309893666666618,0.0,0.0,0.013193011,,0.0,-0.0009438596666666669
qwen3:0.6b,SELECTIVE-OFF,ir_01_05,ir_scenario_01,unknown_or_conflicting,3,0.0,-0.012678996999999933,23.0,0.0,-0.00021991633333333342,0.06250860599999997,1.0,0.070853246,0.008998969999999998,,0.0,-0.0011151750000000002
qwen3:0.6b,SELECTIVE-OFF,ir_01_06,ir_scenario_01,lifecycle_or_authorization,3,0.0,-0.02932589699999995,22.0,1.0,0.0004295643333333333,0.12451656166666665,1.0,0.10345369433333333,0.008206966333333334,1.0,0.0,0.0037993606666666666
qwen3:0.6b,SELECTIVE-OFF,ir_02_01,ir_scenario_02,direct_personal_recall,3,0.0,0.15792748599999995,22.0,0.0,6.171333333333329e-05,0.23706853633333336,1.0,0.060944427999999995,0.01020111,1.0,0.0,0.0033274036666666672
qwen3:0.6b,SELECTIVE-OFF,ir_02_02,ir_scenario_02,paraphrased_personal_recall,3,0.0,0.14663840366666658,22.0,0.0,2.1791000000000026e-05,0.238570387,1.0,0.09582831566666668,0.01327178,0.0,0.0,-0.005534240333333333
qwen3:0.6b,SELECTIVE-OFF,ir_02_03,ir_scenario_02,multi_fact_personal,3,0.0,0.9772656746666667,21.0,1.0,-0.00041486900000000006,1.0865387083333333,1.0,0.07896832766666667,0.010505089,1.0,0.0,0.005016701
qwen3:0.6b,SELECTIVE-OFF,ir_02_04,ir_scenario_02,general_no_memory,3,0.0,0.1415131713333333,0.0,0.0,0.0002341409999999999,0.1414051900000001,0.0,0.0,0.010769160333333335,,0.0,-0.0002056473333333335
qwen3:0.6b,SELECTIVE-OFF,ir_02_05,ir_scenario_02,unknown_or_conflicting,3,0.0,0.22891598066666666,23.0,1.0,0.0009609466666666667,0.3235659766666667,1.0,0.07195489233333333,0.011279566666666666,,0.0,0.004379408666666667
qwen3:0.6b,SELECTIVE-OFF,ir_02_06,ir_scenario_02,lifecycle_or_authorization,3,0.0,0.0026989869999999674,22.0,0.0,0.00023267633333333326,0.09165368700000005,1.0,0.07421745066666666,0.010676590333333333,0.0,0.0,-5.25546666666664e-05
qwen3:0.6b,SELECTIVE-OFF,ir_03_01,ir_scenario_03,direct_personal_recall,3,0.0,0.19759086033333326,22.0,0.0,0.00036307533333333335,0.307369107,1.0,0.08185579833333333,0.008650041333333334,1.0,0.0,0.0059493463333333335
qwen3:0.6b,SELECTIVE-OFF,ir_03_02,ir_scenario_03,paraphrased_personal_recall,3,0.0,0.26404732466666675,22.0,0.0,0.0004941179999999999,0.3377702206666667,1.0,0.065821269,0.011397199666666667,0.0,0.0,0.00015555400000000016
qwen3:0.6b,SELECTIVE-OFF,ir_03_03,ir_scenario_03,multi_fact_personal,3,0.0,0.532669223,21.0,0.0,0.00041875866666666667,0.6445676133333333,1.0,0.08278088766666666,0.010948731666666668,1.0,0.0,0.012870974666666667
qwen3:0.6b,SELECTIVE-OFF,ir_03_04,ir_scenario_03,general_no_memory,3,0.0,0.07029817366666673,0.0,0.0,0.003217953333333333,0.6354320386666668,0.0,0.0,0.558633319,,0.0,0.0007369739999999996
qwen3:0.6b,SELECTIVE-OFF,ir_03_05,ir_scenario_03,unknown_or_conflicting,3,0.0,-0.047442345666666684,23.0,1.0,0.00019784700000000005,0.051083354333333254,1.0,0.073426425,0.008831426666666668,,0.0,0.004816074666666666
qwen3:0.6b,SELECTIVE-OFF,ir_03_06,ir_scenario_03,lifecycle_or_authorization,3,0.0,0.04542057833333346,23.0,0.0,-0.0005386609999999998,0.13460818533333319,1.0,0.07092634566666667,0.013036651333333333,,0.0,0.0011171359999999997
qwen3:0.6b,SELECTIVE-OFF,ir_04_01,ir_scenario_04,direct_personal_recall,3,0.0,0.163189397,22.0,0.0,-0.0005778686666666666,0.262256439,1.0,0.059848432666666666,0.018284342999999998,1.0,0.0,0.0027584050000000007
qwen3:0.6b,SELECTIVE-OFF,ir_04_02,ir_scenario_04,paraphrased_personal_recall,3,0.0,-0.020711035666666728,22.0,0.0,0.0004644226666666667,0.07136552633333333,1.0,0.07741833566666667,0.008866928666666666,1.0,0.0,0.0052099139999999995
qwen3:0.6b,SELECTIVE-OFF,ir_04_03,ir_scenario_04,multi_fact_personal,3,0.0,0.550875252,21.0,0.0,0.0005815413333333332,0.6665982083333336,1.0,0.08352413766666666,0.011046472333333333,1.0,0.0,0.0056996013333333335
qwen3:0.6b,SELECTIVE-OFF,ir_04_04,ir_scenario_04,general_no_memory,3,0.0,0.05184453133333333,0.0,0.0,-0.000504636,0.05391402266666671,0.0,0.0,0.009977148333333335,,0.0,0.0003548826666666664
qwen3:0.6b,SELECTIVE-OFF,ir_04_05,ir_scenario_04,unknown_or_conflicting,3,0.0,0.045047444666666735,23.0,0.0,0.00025551733333333356,0.1299782646666666,1.0,0.06885102433333333,0.012470899333333334,,0.0,-0.00022214233333333298
qwen3:0.6b,SELECTIVE-OFF,ir_04_06,ir_scenario_04,lifecycle_or_authorization,3,0.0,0.08241188666666677,23.0,0.0,0.0002244906666666666,0.17479331299999998,1.0,0.06665629233333334,0.016642837666666667,,0.0,-0.00042126633333333343
qwen3:0.6b,SELECTIVE-OFF,ir_05_01,ir_scenario_05,direct_personal_recall,3,0.0,-0.03828561633333338,22.0,0.0,0.00019468899999999992,0.06866814933333328,1.0,0.07841892466666667,0.009366366333333332,1.0,0.0,0.004329465000000001
qwen3:0.6b,SELECTIVE-OFF,ir_05_02,ir_scenario_05,paraphrased_personal_recall,3,0.0,0.38731458133333335,22.0,0.0,1.0834666666666824e-05,0.49176600333333337,1.0,0.08035814933333334,0.010422947333333333,1.0,0.0,0.005432532666666667
qwen3:0.6b,SELECTIVE-OFF,ir_05_03,ir_scenario_05,multi_fact_personal,3,0.0,0.04096829066666663,21.0,0.0,0.00024218033333333328,0.14736727766666657,1.0,0.08901355166666666,0.010183671666666666,1.0,0.0,0.006707347333333334
qwen3:0.6b,SELECTIVE-OFF,ir_05_04,ir_scenario_05,general_no_memory,3,0.0,0.030105275333333365,23.0,0.0,0.002550329,0.7289423903333333,1.0,0.06792287333333333,0.6244935123333333,,1.0,3.881066666666684e-05
qwen3:0.6b,SELECTIVE-OFF,ir_05_05,ir_scenario_05,unknown_or_conflicting,3,0.0,0.5270980793333333,23.0,2.0,0.0003873626666666668,0.6371472866666666,1.0,0.08170758766666666,0.009723675666666666,,0.0,0.005243463333333333
qwen3:0.6b,SELECTIVE-OFF,ir_05_06,ir_scenario_05,lifecycle_or_authorization,3,0.0,-0.2569633603333332,23.0,0.0,-0.25316994233333334,0.33259496566666646,1.0,0.5790216963333333,0.008935860666666667,,0.0,0.0001166470000000001
qwen3:0.6b,SELECTIVE-OFF,ir_06_01,ir_scenario_06,direct_personal_recall,3,0.0,0.4659761013333334,22.0,0.0,0.00039396066666666664,0.5496504736666666,1.0,0.06719652233333334,0.010651123333333333,1.0,0.0,0.004518044333333334
qwen3:0.6b,SELECTIVE-OFF,ir_06_02,ir_scenario_06,paraphrased_personal_recall,3,0.0,-0.04544046433333341,22.0,0.0,0.0001438219999999999,-0.14668750233333339,1.0,0.07059908266666666,-0.03863127733333333,0.0,0.0,0.001462084333333333
qwen3:0.6b,SELECTIVE-OFF,ir_06_03,ir_scenario_06,multi_fact_personal,3,0.0,0.5684979553333332,21.0,0.0,0.006862464,0.6749751133333333,1.0,0.078578677,0.010843661333333332,1.0,0.0,0.004093496666666667
qwen3:0.6b,SELECTIVE-OFF,ir_06_04,ir_scenario_06,general_no_memory,3,0.0,0.08271861433333332,0.0,0.0,0.0073133346666666675,0.637727573,0.0,0.0,0.5731163333333333,,0.0,-0.0009806029999999998
qwen3:0.6b,SELECTIVE-OFF,ir_06_05,ir_scenario_06,unknown_or_conflicting,3,0.0,0.46295794466666657,23.0,1.0,0.002455308666666667,1.243909958,1.0,0.076320271,0.6624418986666666,,0.0,0.0072800976666666664
qwen3:0.6b,SELECTIVE-OFF,ir_06_06,ir_scenario_06,lifecycle_or_authorization,3,0.0,0.791303011,23.0,1.0,0.00016443566666666655,0.8909194686666666,1.0,0.07084089366666667,0.011056151333333333,,0.0,0.006399617333333334
qwen3:0.6b,SELECTIVE-OFF,ir_07_01,ir_scenario_07,direct_personal_recall,3,0.0,0.496421699,22.0,0.0,-0.00023063433333333342,0.5691619006666667,1.0,0.06788190266666666,0.010611931666666666,1.0,0.0,0.0038604556666666664
qwen3:0.6b,SELECTIVE-OFF,ir_07_02,ir_scenario_07,paraphrased_personal_recall,3,0.0,0.17133808933333325,22.0,0.0,0.1583454786666672,0.8790551133333333,1.0,0.6957774783333334,0.012885003,0.0,0.0,0.0013764469999999996
qwen3:0.6b,SELECTIVE-OFF,ir_07_03,ir_scenario_07,multi_fact_personal,3,0.0,0.46165075633333336,21.0,0.0,-0.0004155283333333332,0.5762276233333333,1.0,0.08220023066666667,0.011042776333333334,1.0,0.0,0.008126635
qwen3:0.6b,SELECTIVE-OFF,ir_07_04,ir_scenario_07,general_no_memory,3,0.0,0.02869927866666666,0.0,0.0,2.273633333333321e-05,0.04341514799999998,0.0,0.0,0.012080094666666668,,0.0,0.0006240686666666665
qwen3:0.6b,SELECTIVE-OFF,ir_07_05,ir_scenario_07,unknown_or_conflicting,3,0.0,0.5946864053333333,21.0,0.0,0.00022797366666666655,0.690455055,1.0,0.06864277833333333,0.012328696,1.0,0.0,0.005563672333333333
qwen3:0.6b,SELECTIVE-OFF,ir_07_06,ir_scenario_07,lifecycle_or_authorization,3,0.0,-0.016352521000000026,0.0,0.0,0.0003790003333333333,-0.021243409999999924,0.0,0.0,-0.0004344096666666665,,0.0,-0.000757730666666667
qwen3:0.6b,SELECTIVE-OFF,ir_08_01,ir_scenario_08,direct_personal_recall,3,0.0,1.129890104666667,22.0,1.0,0.4479758266666665,1.7818302829999995,1.0,0.629044512,0.009697960333333333,1.0,0.0,0.008245193999999999
qwen3:0.6b,SELECTIVE-OFF,ir_08_02,ir_scenario_08,paraphrased_personal_recall,3,0.0,0.09436593166666667,0.0,0.0,0.0029209776666666667,0.666088441,0.0,0.0,0.5728196786666666,0.0,0.0,0.00023462133333333342
qwen3:0.6b,SELECTIVE-OFF,ir_08_03,ir_scenario_08,multi_fact_personal,3,0.0,0.6455490089999999,21.0,0.0,-0.00023959433333333325,0.7514842856666667,1.0,0.08998250299999999,0.012044387000000002,1.0,0.0,0.0037188066666666666
qwen3:0.6b,SELECTIVE-OFF,ir_08_04,ir_scenario_08,general_no_memory,3,0.0,0.6477285290000001,23.0,1.0,0.0010257133333333335,1.2855165426666666,1.0,0.07763122733333333,0.5463214586666667,,1.0,0.006022980999999999
qwen3:0.6b,SELECTIVE-OFF,ir_08_05,ir_scenario_08,unknown_or_conflicting,3,0.0,0.30746299099999996,21.0,0.0,0.0006811463333333334,0.39524253433333323,1.0,0.08306614333333333,0.004067858000000001,0.5,0.0,0.005326623999999999
qwen3:0.6b,SELECTIVE-OFF,ir_08_06,ir_scenario_08,lifecycle_or_authorization,3,0.0,-0.0836839026666667,0.0,0.0,0.0004194476666666666,-0.08338649433333334,0.0,0.0,-0.0010962329999999996,,0.0,-0.0002722999999999999
qwen3:0.6b,ALWAYS-OFF,ir_01_01,ir_scenario_01,direct_personal_recall,3,0.0,0.3206547376666667,22.0,1.0,0.00020010866666666672,0.3920530543333334,1.0,0.06272176533333333,-0.0014917206666666665,0.0,0.0,0.0050941046666666675
qwen3:0.6b,ALWAYS-OFF,ir_01_02,ir_scenario_01,paraphrased_personal_recall,3,0.0,0.02354222100000003,22.0,0.0,0.0001780026666666667,0.1090822963333334,1.0,0.07976129266666666,0.0005854980000000003,0.0,0.0,0.00031927966666666675
qwen3:0.6b,ALWAYS-OFF,ir_01_03,ir_scenario_01,multi_fact_personal,3,0.0,0.8577674733333335,21.0,1.0,-1.0109666666666866e-05,0.9508262766666666,1.0,0.078071685,0.0012317249999999995,1.0,0.0,0.006772155000000001
qwen3:0.6b,ALWAYS-OFF,ir_01_04,ir_scenario_01,general_no_memory,3,0.0,0.041147568999999974,23.0,0.0,-0.0002735796666666666,0.06918630599999998,1.0,0.07276572766666667,-0.0006002706666666668,,1.0,-0.0011361103333333334
qwen3:0.6b,ALWAYS-OFF,ir_01_05,ir_scenario_01,unknown_or_conflicting,3,0.0,0.0021603196666667066,23.0,0.0,-8.902933333333339e-05,0.08428237833333337,1.0,0.08367887566666667,-0.000422363333333334,,0.0,7.991066666666678e-05
qwen3:0.6b,ALWAYS-OFF,ir_01_06,ir_scenario_01,lifecycle_or_authorization,3,0.0,-0.07644146899999993,22.0,1.0,0.0004200136666666667,0.009209129666666685,1.0,0.068375348,-0.0002992060000000004,1.0,0.0,0.007471316
qwen3:0.6b,ALWAYS-OFF,ir_02_01,ir_scenario_02,direct_personal_recall,3,0.0,0.17839093800000003,22.0,0.0,0.00015099933333333326,0.25217180933333333,1.0,0.064966991,-0.0012636953333333336,1.0,0.0,0.004849225333333333
qwen3:0.6b,ALWAYS-OFF,ir_02_02,ir_scenario_02,paraphrased_personal_recall,3,0.0,0.07519946933333332,22.0,0.0,0.004701128666666667,0.12085470166666656,1.0,0.07811224833333333,0.0001277990000000008,0.0,0.0,-0.005179602666666666
qwen3:0.6b,ALWAYS-OFF,ir_02_03,ir_scenario_02,multi_fact_personal,3,0.0,0.9533092503333332,21.0,1.0,-0.00015106100000000016,1.0423053726666667,1.0,0.08028091333333333,0.0017411753333333336,1.0,0.0,0.008272381
qwen3:0.6b,ALWAYS-OFF,ir_02_04,ir_scenario_02,general_no_memory,3,0.0,0.6883888323333333,23.0,2.0,0.00040679266666666675,0.7771349430000002,1.0,0.077274569,-8.331333333333468e-06,,1.0,0.0072188746666666664
